C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
1.325711365590111e+25,1.0057635759728946e+17,1.152979350197266e+17,0.3701266944657117,cot,132951688.7489643,151297.60072050674
1.325711365590111e+25,1.2086813363929197e+17,1.3850488421589698e+17,0.3964407341295709,cot,132951688.7489643,181822.6376462383
1.325711365590111e+25,1.4495115475190627e+17,1.6638288403323978e+17,0.4172170722132078,cot,132951688.7489643,218050.8666205798
1.325711365590111e+25,1.7213358311339037e+17,1.998721146617942e+17,0.44155844215051027,cot,132951688.7489643,258941.5519774378
1.325711365590111e+25,2.0417738378051638e+17,2.401019939731089e+17,0.4610389579939594,cot,132951688.7489643,307145.22801743186
1.325711365590111e+25,2.4645079861851066e+17,2.8842926692105965e+17,0.48711939657061304,cot,132951688.7489643,370737.3722553494
1.325711365590111e+25,2.934856002103257e+17,3.464837615048567e+17,0.5071200757199892,cot,132951688.7489643,441492.0983282537
1.325711365590111e+25,3.4635372341314797e+17,4.1622335440533235e+17,0.5324675324675323,cot,132951688.7489643,521021.9240872126
1.325711365590111e+25,4.1252294310433914e+17,4.9999999999999994e+17,0.5519480519479826,cot,132951688.7489643,620560.666789654
1.4563484775012384e+25,9999999999999.959,10000000000000.0,0.0,cot,139348411.18583488,14.352513839090667
1.4563484775012384e+25,12012780991454.928,12012780991454.914,0.0,cot,139348411.18583488,17.241360542582285
1.4563484775012384e+25,14430690714865.975,14430690714865.992,0.0,cot,139348411.18583488,20.711668819275193
1.4563484775012384e+25,17335272711310.66,17335272711310.713,0.0,cot,139348411.18583488,24.880474149349805
1.4563484775012384e+25,20824483450811.97,20824483450812.043,0.0,cot,139348411.18583488,29.888368691969454
1.4563484775012384e+25,25015995895478.285,25015995895478.234,0.0,cot,139348411.18583488,35.904242728848885
1.4563484775012384e+25,30051167997551.418,30051167997551.387,0.0,cot,139348411.18583488,43.1309804565697
1.4563484775012384e+25,36099809969200.266,36099809969200.36,0.0,cot,139348411.18583488,51.81230221714921
1.4563484775012384e+25,43365911099314.5,43365911099314.47,0.0,cot,139348411.18583488,62.240983919768944
1.4563484775012384e+25,52094519253096.44,52094519253096.64,0.0,cot,139348411.18583488,74.76873085208449
1.4563484775012384e+25,62580005064258.164,62580005064258.14,0.0,cot,139348411.18583488,89.8180388735133
1.4563484775012384e+25,75175989528107.16,75175989528107.25,0.0,cot,139348411.18583488,107.89644300694974
1.4563484775012384e+25,90307269801705.67,90307269801705.67,0.0,cot,139348411.18583488,129.61363395994806
