x, y
1.063217940473791, 0.2673716012084592
1.9952623149688797, 0.27121212121212124
3.0199517204020165, 0.2909090909090909
4.033269460369473, 0.311178247734139
5.737668343181684, 0.3368580060422961
7.676996590946896, 0.3474320241691843
18.389040454635484, 0.3776435045317221
36.64881191202679, 0.38972809667673713
51.343152266557134, 0.4003021148036254
82.5667755262849, 0.40181268882175225
141.17260088102114, 0.40634441087613293
285.69775120660074, 0.4123867069486405
481.05677941676936, 0.41389728096676737
915.6520019111543, 0.41389728096676737
2227.171926894662, 0.41540785498489424
5585.836073037713, 0.41389728096676737
10000, 0.41540785498489424
